id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
332,"Limon swinglea, Swinglea",Arbol,Maduro,0.5,0,0.09,0.09,0.22,0.35,1,1.7,0.7,1,0,3,0,0,0,"Alto (67 - 100%)",Regular,873859,1058430
333,"Limon swinglea, Swinglea",Arbol,Maduro,0.7,0,0.1,0.1,0.25,0.4,1,1.7,0.7,1,0,7,0,0,0,"Alto (67 - 100%)",Regular,873859,1058430
334,"Limon swinglea, Swinglea",Arbol,Longevo,0.4,0,0.04,0.04,0.1,0.18,1,1.8,0.8,1,0,5,0,0,0,"Alto (67 - 100%)",Regular,873860,1058440
335,"Arbol de la cruz, Ariza",Arbusto,Longevo,0.9,0.6,0.19,0.19,0,0,1.2,2.5,1.3,1.6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873860,1058430
336,"Palma areca",Palma,Maduro,1.58,0,0.09,0.09,0.27,0.32,2.8,3.9,1.1,3.2,0,6,0,0,0,"Bajo (0 - 33%)",Regular,873860,1058430
337,"Limon swinglea, Swinglea",Arbol,Juvenil,0.28,0.3,0.1,0.1,0,0,1,1.85,0.85,1,0,1,0,0,0,"Alto (67 - 100%)",Regular,873860,1058440
338,"Limon swinglea, Swinglea",Arbol,Juvenil,0.6,0,0.05,0.05,0.09,0.25,1,1.85,0.85,1.2,0,4,0,0,0,"Alto (67 - 100%)",Regular,873860,1058440
339,"Limon swinglea, Swinglea",Arbol,Maduro,2.07,0,0.39,0.39,0.95,1.47,2,9.8,7.8,8.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873859,1058450
340,"Seso, Bien me sabe",Arbol,Maduro,0.55,0,0.07,0.07,0.16,0.26,1.7,2.3,0.6,3,0,2,0,0,0,"Bajo (0 - 33%)",Muerto,873841,1058410
341,"Palma areca",Palma,Maduro,0.28,0.24,0.08,0.08,0,0,4,5,1,0.5,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873839,1058410
342,Cipres,Arbol,Juvenil,0.8,0,0.04,0.04,0.09,0.15,1.2,2.8,1.6,2,0,12,0,0,0,"Alto (67 - 100%)",Regular,873838,1058400
343,Cipres,Arbol,Juvenil,0.75,0,0.03,0.03,0.07,0.12,1,2.1,1.1,2,0,10,0,0,0,"Alto (67 - 100%)",Regular,873837,1058400
344,Veranera,"Planta arbustiva",Maduro,0.8,0,0.06,0.06,0.12,0.25,1,2,1,3.5,0,7,0,0,0,"Alto (67 - 100%)",Regular,873837,1058390
345,"Limon swinglea, Swinglea",Arbol,Maduro,1.4,0,0.1,0.1,0.22,0.42,1.8,2.5,0.7,2.7,0,9,0,0,0,"Alto (67 - 100%)",Regular,873827,1058400
346,"Palma areca",Palma,Maduro,1.4,0,0.06,0.06,0.14,0.23,1.6,3,1.4,2.2,0,7,0,0,0,"Bajo (0 - 33%)",Regular,873804,1058380
347,Naranjo,Arbusto,Juvenil,0.56,0,0.12,0.12,0.37,0.4,2,6.2,4.2,5.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873749,1058690
348,Naranjo,Arbusto,Maduro,0.85,0.39,0.12,0.12,0,0,1.6,4.2,2.6,3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873749,1058690
349,"Palma botella, Palma imperial, Mapora",Palma,Maduro,3.55,0,0.41,0.41,1.1,1.5,10.5,14.5,4,10.6,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873751,1058690
350,Mango,Arbol,Maduro,0.8,0.6,0.19,0.19,0,0,2,5.6,3.6,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873754,1058680
351,Mango,Arbol,Maduro,0.74,0.64,0.2,0.2,0,0,2.2,5.3,3.1,4.6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873761,1058690
352,Chiminango,Arbol,Maduro,1.4,0,0.28,0.28,0.36,1.4,2,8.5,6.5,6.8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873762,1058690
353,Naranjo,Arbusto,Maduro,0.7,0,0.14,0.14,0.38,0.52,2,6,4,4.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873762,1058690
354,Aguacate,Arbol,Maduro,0.8,0.7,0.22,0.22,0,0,3,8,5,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873748,1058700
355,Chiminango,Arbol,Longevo,1.36,0,0.29,0.29,0.9,0.94,2,10.5,8.5,9.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873754,1058700
