id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
450,"Eucaliptus grandis",Arbol,Maduro,0.22,0.2,0.06,0.06,0,0,2.3,7,4.7,3,0,1,0,0,0,"Alto (67 - 100%)",Sano,873237,1057750
451,Chiminango,Arbol,Maduro,3.2,0,0.36,0.36,0.75,1.5,3,11,8,15,0,3,0,0,0,"Alto (67 - 100%)",Regular,873219,1057730
452,Guacimo,Arbol,Maduro,0.72,0.67,0.21,0.21,0,0,2,10,8,9,0,1,0,0,0,"Alto (67 - 100%)",Regular,873250,1057660
453,Guacimo,Arbol,Maduro,1.14,0.9,0.29,0.29,0,0,4,10,6,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873253,1057650
454,"Eucaliptus grandis",Arbol,Maduro,0.24,0,0.04,0.04,0.1,0.13,0.5,5,4.5,2,0,2,0,0,0,"Medio (34 - 66%)",Sano,873242,1057600
455,"Eucaliptus grandis",Arbol,Maduro,0.27,0.26,0.08,0.08,0,0,2,8,6,3,0,1,0,0,0,"Medio (34 - 66%)",Sano,873216,1057550
456,"Eucaliptus grandis",Arbol,Maduro,0.2,0.15,0.05,0.05,0,0,1.5,5,3.5,2.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873205,1057510
457,"Guayacan rosado",Arbol,Maduro,0.52,0.51,0.16,0.16,0,0,2,6,4,2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873490,1057020
458,"Palma areca",Palma,Maduro,1.4,0,0.07,0.07,0.15,0.27,1.8,3.5,1.7,3,0,5,0,0,0,"Bajo (0 - 33%)",Sano,873484,1057020
459,"Dracena dereminsis","Planta arbustiva",Maduro,0.92,0,0.06,0.06,0.13,0.27,2,5,3,1.5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873480,1057020
460,"Arrayan cerezo",Arbusto,Maduro,0.45,0,0.04,0.04,0.08,0.18,1.6,3,1.4,1.3,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873486,1057020
461,"Seso, Bien me sabe",Arbol,Maduro,0.22,0.2,0.06,0.06,0,0,1.7,4,2.3,1.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873480,1057010
462,Almendro,Arbol,Juvenil,0.63,0.57,0.18,0.18,0,0,1.6,3,1.4,3.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873488,1057010
463,Almendro,Arbol,Maduro,0.75,0.7,0.22,0.22,0,0,1.4,3,1.6,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873488,1057000
464,Resucitado,Arbusto,Maduro,0.52,0,0.03,0.03,0.05,0.15,0.3,2,1.7,2,0,7,0,0,0,"Medio (34 - 66%)",Sano,873487,1056980
465,Veranera,"Planta arbustiva",Maduro,0.44,0,0.05,0.05,0.1,0.2,0.6,2.5,1.9,3,0,4,0,0,0,"Alto (67 - 100%)",Sano,873484,1056970
466,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,0.8,0,0.13,0.13,0.3,0.5,1.7,5,3.3,3,0,5,0,0,0,"Alto (67 - 100%)",Regular,873525,1056830
467,"Palma areca",Palma,Juvenil,2,0,0.06,0.06,0.12,0.27,4,7,3,7,0,8,0,0,0,"Bajo (0 - 33%)",Sano,873529,1056750
468,Francesina,Arbusto,Juvenil,0.24,0,0.03,0.03,0.05,0.13,1,2.5,1.5,2,0,3,0,0,0,"Medio (34 - 66%)",Regular,873531,1056740
469,"Acacia robinia",Arbol,Juvenil,2.4,0,0.26,0.26,0.63,1,3,5,2,7,0,3,0,0,0,"Alto (67 - 100%)",Regular,873530,1056740
470,"Acacia robinia",Arbol,Juvenil,1.3,0,0.15,0.15,0.3,0.66,5,12,7,10,0,4,0,0,0,"Alto (67 - 100%)",Regular,873523,1056730
471,"Jazmin de noche, Caballero de la noche",Arbusto,Maduro,0.32,0,0.02,0.02,0.05,0.1,1,2.3,1.3,2,0,4,0,0,0,"Medio (34 - 66%)",Sano,873533,1056710
472,"Palma Sica, Palma de Sagu, Funeraria, Palma Funebre",Palma,Maduro,0.5,0.45,0.14,0.14,0,0,0.6,2,1.4,2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873528,1056710
473,"Palma Sica, Palma de Sagu, Funeraria, Palma Funebre",Palma,Juvenil,0.7,0.6,0.19,0.19,0,0,0.6,1.8,1.2,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873531,1056710
474,"Dracena dereminsis","Planta arbustiva",Maduro,1.2,0,0.05,0.05,0.12,0.2,0.3,2.5,2.2,1,0,4,0,0,0,"Medio (34 - 66%)",Regular,873531,1056710
475,"Carbonero de flor blanca",Arbusto,Maduro,0.56,0,0.13,0.13,0.3,0.5,1.7,4,2.3,6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873604,1056290
476,Chiminango,Arbol,Maduro,2.5,0,0.33,0.33,0.6,1.5,3,12,9,11,0,4,0,0,0,"Alto (67 - 100%)",Regular,873594,1056270
477,Guacimo,Arbol,Maduro,1.6,0,0.27,0.27,0.7,0.98,1.3,9,7.7,14,0,2,0,0,0,"Alto (67 - 100%)",Regular,873582,1056230
478,Chiminango,Arbol,Maduro,1.7,0,0.29,0.29,0.8,1.05,3,14,11,15,0,5,0,0,0,"Alto (67 - 100%)",Regular,873559,1056190
479,Guanabano,Arbol,Juvenil,0.87,0.6,0.19,0.19,0,0,3,9,6,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873551,1056150
480,"Dracena dereminsis","Planta arbustiva",Maduro,0.3,0.2,0.06,0.06,0,0,2.3,5.5,3.2,1,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873551,1056150
481,"Capote rojo, Capote rojo brasilero",Arbusto,Maduro,0.54,0,0.05,0.05,0.1,0.2,1.3,3.7,2.4,4,0,3,0,0,0,"Medio (34 - 66%)",Regular,873548,1056170
482,"Capote rojo, Capote rojo brasilero",Arbusto,Maduro,0.8,0,0.05,0.05,0.1,0.2,1,4,3,5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873549,1056180
483,Mango,Arbol,Maduro,1.6,0,0.32,0.32,0.94,1.05,4,9,5,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873546,1056180
484,"Chambimbe, Jaboncillo",Arbol,Maduro,1.3,1.1,0.35,0.35,0,0,5,10,5,15,0,1,0,0,0,"Alto (67 - 100%)",Regular,873543,1056190
485,"Guayacan rosado",Arbol,Maduro,1.04,0.84,0.27,0.27,0,0,4,10,6,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873533,1056200
486,"Guayacan rosado",Arbol,Maduro,0.64,0.55,0.18,0.18,0,0,3,10,7,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873546,1056200
487,"Floramarillo, Velero, Vainillo",Arbol,Maduro,1.26,1.04,0.33,0.33,0,0,6,12,6,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873536,1056210
488,Guanabano,Arbol,Maduro,1.2,1.05,0.33,0.33,0,0,2.3,9,6.7,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873534,1056220
489,Mango,Arbol,Maduro,1.26,1.13,0.36,0.36,0,0,2.6,7,4.4,9,0,1,0,0,0,"Alto (67 - 100%)",Regular,873540,1056220
490,Mango,Arbol,Maduro,1.63,0,0.23,0.23,0.72,0.74,2,7,5,10,0,2,0,0,0,"Alto (67 - 100%)",Regular,873540,1056220
491,Mango,Arbol,Maduro,0.24,0.2,0.06,0.06,0,0,2.7,6,3.3,2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873544,1056230
492,Mango,Arbol,Maduro,0.96,0.82,0.26,0.26,0,0,3,6,3,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873546,1056230
493,"Casuarina, Pino australiano",Arbol,Maduro,1.57,1.2,0.38,0.38,0,0,6,12,6,8,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873546,1056230
494,"Arrayan cerezo",Arbusto,Maduro,0.27,0,0.06,0.06,0.16,0.2,1.4,4,2.6,4,0,2,0,0,0,"Medio (34 - 66%)",Regular,873549,1056240
495,"Guamo rabo de mico, Guamo churimo",Arbol,Maduro,0.2,0.1,0.03,0.03,0,0,1.2,2,0.8,1.8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873547,1056240
496,"Capote rojo, Capote rojo brasilero",Arbusto,Maduro,0.4,0,0.05,0.05,0.1,0.2,0.3,3.5,3.2,4,0,4,0,0,0,"Medio (34 - 66%)",Sano,873550,1056240
497,"Dracena dereminsis","Planta arbustiva",Maduro,0.27,0.1,0.03,0.03,0,0,0.3,2.8,2.5,1,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873551,1056240
498,Mango,Arbol,Maduro,1.5,0,0.24,0.24,0.71,0.8,2.5,8,5.5,10,0,3,0,0,0,"Alto (67 - 100%)",Regular,873555,1056250
499,Mango,Arbol,Maduro,2.6,0,0.37,0.37,1.03,1.3,3,8,5,11,0,2,0,0,0,"Alto (67 - 100%)",Regular,873564,1056270
500,Mango,Arbol,Juvenil,0.9,0.8,0.25,0.25,0,0,2.5,7,4.5,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873564,1056270
501,Mango,Arbol,Maduro,1.5,1.3,0.41,0.41,0,0,5,14,9,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873575,1056290
502,Zapote,Arbol,Maduro,1.34,1.2,0.38,0.38,0,0,4,10,6,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873575,1056290
503,"Chambimbe, Jaboncillo",Arbol,Juvenil,0.9,0.75,0.24,0.24,0,0,3,10,7,8,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873572,1056290
504,"Guamo rabo de mico, Guamo churimo",Arbol,Juvenil,0.94,0.9,0.29,0.29,0,0,6,15,9,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873574,1056300
505,Mango,Arbol,Maduro,1.5,0,0.21,0.21,0.5,0.8,3,8,5,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873567,1056300
506,Guacimo,Arbol,Juvenil,0.7,0,0.11,0.11,0.2,0.5,1.6,7,5.4,9,0,3,0,0,0,"Alto (67 - 100%)",Regular,873570,1056300
507,"Eucaliptus grandis",Arbol,Juvenil,1.96,1.85,0.59,0.59,0,0,7,16,9,10,0,1,0,0,0,"Medio (34 - 66%)",Regular,873561,1056300
508,"Ciruelo, Hobo, Jobo",Arbol,Maduro,0.25,0.2,0.06,0.06,0,0,2,5,3,3,0,1,0,0,0,"Medio (34 - 66%)",Sano,873553,1056310
509,"Nacedero, Madre de agua",Arbol,Maduro,0.8,0,0.1,0.1,0.2,0.4,1.5,5,3.5,6,0,7,0,0,0,"Alto (67 - 100%)",Regular,873555,1056310
510,"Carbonero de flor blanca",Arbusto,Maduro,0.14,0,0.17,0.17,0.3,0.74,3,5,2,5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873560,1056300
511,"Dracena dereminsis","Planta arbustiva",Maduro,0.5,0,0.06,0.06,0.15,0.2,0.3,2.1,1.8,1,0,3,0,0,0,"Bajo (0 - 33%)",Sano,873595,1056300
512,Mango,Arbol,Maduro,1.1,0.93,0.3,0.3,0,0,2,7,5,6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873535,1056650
513,Chiminango,Arbol,Maduro,2.7,0,0.46,0.46,1.17,1.75,3,9,6,13,0,2,0,0,0,"Medio (34 - 66%)",Regular,873490,1056670
514,Leucaena,Arbol,Maduro,1.14,0,0.21,0.21,0.54,0.75,3,9,6,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873478,1056660
515,"Friega platos",Arbusto,Juvenil,0.23,0.2,0.06,0.06,0,0,1.7,2.4,0.7,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873482,1056660
516,"Saman, Genizaro",Arbol,Maduro,0.6,0.52,0.17,0.17,0,0,2,7,5,6,0,1,0,0,0,"Medio (34 - 66%)",Sano,873479,1056670
517,Leucaena,Arbol,Juvenil,0.3,0.22,0.07,0.07,0,0,1.8,7,5.2,3,0,1,0,0,0,"Medio (34 - 66%)",Sano,873481,1056670
518,"Chambimbe, Jaboncillo",Arbol,Maduro,1.57,1.1,0.35,0.35,0,0,3,10,7,13,0,1,0,0,0,"Alto (67 - 100%)",Regular,873488,1056670
519,"Nacedero, Madre de agua",Arbol,Juvenil,1.4,0,0.1,0.1,0.3,0.34,1,6,5,5,0,5,0,0,0,"Alto (67 - 100%)",Sano,873480,1056680
520,Guacimo,Arbol,Maduro,5.06,0,0.24,0.24,0.6,0.9,2,13,11,14,0,7,0,0,0,"Alto (67 - 100%)",Regular,873473,1056690
521,"Floramarillo, Velero, Vainillo",Arbol,Juvenil,0.34,0,0.08,0.08,0.22,0.3,2.3,6,3.7,8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873471,1056700
522,Guacimo,Arbol,Maduro,3,0,0.18,0.18,0.4,0.7,1.3,7,5.7,11,0,2,0,0,0,"Alto (67 - 100%)",Regular,873479,1056700
523,"Chambimbe, Jaboncillo",Arbol,Maduro,0.55,0.4,0.13,0.13,0,0,3,6,3,5,0,1,0,0,0,"Alto (67 - 100%)",Sano,873487,1056690
524,Leucaena,Arbol,Maduro,0.45,0.3,0.1,0.1,0,0,2,5,3,3,0,1,0,0,0,"Medio (34 - 66%)",Sano,873476,1056710
525,Guacimo,Arbol,Maduro,2.4,0,0.33,0.33,1,1.1,3,12,9,11,0,3,0,0,0,"Alto (67 - 100%)",Regular,873476,1056730
526,Leucaena,Arbol,Maduro,1.6,0,0.24,0.24,0.7,0.8,2,11,9,14,0,2,0,0,0,"Alto (67 - 100%)",Regular,873486,1056730
527,Veranera,"Planta arbustiva",Maduro,0.36,0.44,0.14,0.14,0,0,2,4.5,2.5,1.3,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873527,1056670
528,"Dracena dereminsis","Planta arbustiva",Maduro,0.5,0,0.12,0.12,0.36,0.38,1.6,7,5.4,1,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873530,1056700
529,Guacimo,Arbol,Maduro,0.6,0,0.04,0.04,0.1,0.12,1,3,2,4,0,3,0,0,0,"Medio (34 - 66%)",Sano,873524,1056710
530,Guacimo,Arbol,Maduro,0.45,0.25,0.08,0.08,0,0,1.2,6,4.8,2,0,1,0,0,0,"Alto (67 - 100%)",Sano,873528,1056720
531,Aguacate,Arbol,Maduro,0.5,0.45,0.14,0.14,0,0,2.3,4.5,2.2,3,0,1,0,0,0,"Alto (67 - 100%)",Regular,873487,1056750
532,Mango,Arbol,Maduro,1,0,0.19,0.19,0.4,0.8,3,7,4,6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873481,1056750
533,Aguacate,Arbol,Maduro,0.7,0.6,0.19,0.19,0,0,1.3,5,3.7,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873468,1056750
534,Mango,Arbol,Maduro,0.35,0.3,0.1,0.1,0,0,1,6,5,4,0,1,0,0,0,"Medio (34 - 66%)",Sano,873461,1056750
535,"Chambimbe, Jaboncillo",Arbol,Maduro,1.9,0,0.35,0.35,0.8,1.4,3,9,6,11,0,2,0,0,0,"Alto (67 - 100%)",Sano,873462,1056750
536,Mandarina,Arbusto,Maduro,0.8,0,0.08,0.08,0.2,0.3,2.5,5,2.5,4,0,3,0,0,0,"Alto (67 - 100%)",Regular,873460,1056740
537,Guacimo,Arbol,Maduro,0.45,0.4,0.13,0.13,0,0,1.8,3,1.2,2.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873461,1056730
538,"Chorro de oro, Lluvia de oro",Arbol,Maduro,1,0,0.13,0.13,0.28,0.52,0.9,3.5,2.6,3,0,3,0,0,0,"Alto (67 - 100%)",Regular,873532,1056110
539,Leucaena,Arbol,Maduro,0.17,0.15,0.05,0.05,0,0,1.2,5,3.8,2,0,1,0,0,0,"Medio (34 - 66%)",Sano,873489,1056060
540,Leucaena,Arbol,Maduro,0.22,0.18,0.06,0.06,0,0,1,4,3,2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873488,1056060
541,Leucaena,Arbol,Juvenil,0.36,0.28,0.09,0.09,0,0,2,6,4,2,0,1,0,0,0,"Medio (34 - 66%)",Sano,873491,1056060
542,"Papayuelo, Paraguas chino",Arbol,Maduro,0.28,0,0.04,0.04,0.1,0.17,1,3,2,2,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873499,1056140
543,"Chirlobirlo, Floramarillo",Arbusto,Maduro,0.42,0.35,0.11,0.11,0,0,2,5,3,3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873497,1056130
544,"Papayuelo, Paraguas chino",Arbol,Maduro,0.2,0.19,0.06,0.06,0,0,1.2,3.5,2.3,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873503,1056140
545,"Papayuelo, Paraguas chino",Arbol,Maduro,0.86,0,0.09,0.09,0.23,0.33,2,6,4,5,0,3,0,0,0,"Medio (34 - 66%)",Sano,873507,1056150
546,"Chirlobirlo, Floramarillo",Arbusto,Maduro,0.47,0.33,0.11,0.11,0,0,2,5,3,3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873504,1056150
547,"Chirlobirlo, Floramarillo",Arbusto,Juvenil,0.87,0.46,0.15,0.15,0,0,1.3,6,4.7,3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873505,1056150
548,"Papayuelo, Paraguas chino",Arbol,Maduro,0.87,0,0.07,0.07,0.12,0.33,1.8,4,2.2,4,0,2,0,0,0,"Medio (34 - 66%)",Sano,873510,1056160
549,Guacimo,Arbol,Maduro,1.5,0,0.21,0.21,0.25,1.1,3,9,6,8,0,3,0,0,0,"Alto (67 - 100%)",Regular,873531,1056300
550,"Palma areca",Palma,Maduro,2.1,0,0.09,0.09,0.27,0.32,2,4,2,4,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873507,1056360
551,Ciruelo,Arbusto,Juvenil,1.2,0.75,0.24,0.24,0,0,3,5,2,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873521,1056390
552,Leucaena,Arbol,Maduro,0.8,0.55,0.18,0.18,0,0,4,11,7,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873510,1056450
553,Chiminango,Arbol,Juvenil,2.5,1.37,0.44,0.44,0,0,4,15,11,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873503,1056460
554,Leucaena,Arbol,Maduro,0.4,0.37,0.12,0.12,0,0,2,6,4,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873492,1056460
555,Leucaena,Arbol,Maduro,0.45,0.4,0.13,0.13,0,0,3,8,5,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873485,1056460
556,Leucaena,Arbol,Maduro,1.4,0,0.13,0.13,0.32,0.5,3,8,5,10,0,3,0,0,0,"Alto (67 - 100%)",Regular,873457,1056460
557,Leucaena,Arbol,Maduro,0.6,0.51,0.16,0.16,0,0,1.5,6,4.5,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873434,1056470
558,Leucaena,Arbol,Maduro,0.5,0,0.07,0.07,0.19,0.22,2,5,3,3,0,3,0,0,0,"Medio (34 - 66%)",Regular,873425,1056470
559,Leucaena,Arbol,Maduro,0.28,0.25,0.08,0.08,0,0,1.7,5,3.3,3,0,1,0,0,0,"Medio (34 - 66%)",Sano,873427,1056470
560,Leucaena,Arbol,Maduro,0.3,0.24,0.08,0.08,0,0,1.6,5,3.4,2.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873433,1056480
561,Guacimo,Arbol,Juvenil,2.2,1.6,0.51,0.51,0,0,2,11,9,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873378,1056560
562,Leucaena,Arbol,Maduro,1.58,1.43,0.46,0.46,0,0,3,12,9,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873571,1057090
563,Mango,Arbol,Juvenil,1.35,0,0.11,0.11,0.28,0.38,2,4,2,4,0,2,0,0,0,"Alto (67 - 100%)",Regular,873630,1057100
564,"Palma Washingtonia",Palma,Juvenil,0.87,0.87,0.28,0.28,0,0,1.3,3,1.7,5,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873713,1057130
565,"Cojon de cabrito, Pepa de cabra, Cajeto, Enebro",Arbusto,Maduro,0.87,0,0.06,0.06,0.16,0.2,0.5,2.3,1.8,3,0,2,0,0,0,"Medio (34 - 66%)",Sano,873707,1057140
566,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,1.8,0,0.38,0.38,1.17,1.22,1.6,6,4.4,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873722,1057130
567,Guacimo,Arbol,Maduro,1.2,1.1,0.35,0.35,0,0,2,6,4,4,0,1,0,0,0,"Alto (67 - 100%)",Regular,873459,1056710
568,Araucaria,Arbol,Maduro,0.8,0.7,0.22,0.22,0,0,2.3,12,9.7,4,0,1,0,0,0,"Alto (67 - 100%)",Regular,873724,1057130
569,"Seso, Bien me sabe",Arbol,Maduro,1.68,1.36,0.43,0.43,0,0,2,10,8,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873722,1057120
570,Araucaria,Arbol,Maduro,1.38,1.16,0.37,0.37,0,0,3,15,12,5,0,1,0,0,0,"Alto (67 - 100%)",Sano,873721,1057030
571,"Palma areca",Palma,Maduro,0.7,0,0.11,0.11,0.33,0.34,4,7,3,5,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873720,1057030
572,"Palma areca",Palma,Maduro,1.53,0,0.1,0.1,0.28,0.33,4,7,3,5,0,4,0,0,0,"Bajo (0 - 33%)",Regular,873726,1057030
573,Francesina,Arbusto,Maduro,1.03,0,0.05,0.05,0.14,0.17,1.2,2.5,1.3,3,0,5,0,0,0,"Alto (67 - 100%)",Sano,873671,1056950
574,Araucaria,Arbol,Juvenil,1.08,0,0.26,0.26,0.79,0.84,2.5,5,2.5,4.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873883,1056350
575,Matarraton,Arbol,Juvenil,1.06,0.85,0.27,0.27,0,0,2.5,8,5.5,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873896,1056340
576,Leucaena,Arbol,Juvenil,2,1.7,0.54,0.54,0,0,4,10,6,14,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873902,1056340
577,"Floramarillo, Velero, Vainillo",Arbol,Juvenil,0.87,0.83,0.26,0.26,0,0,2.5,8,5.5,7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873930,1056340
578,Leucaena,Arbol,Maduro,1.2,0.92,0.29,0.29,0,0,4,10,6,8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873933,1056340
579,Chiminango,Arbol,Maduro,2.3,0,0.37,0.37,0.87,1.47,2,10,8,9,0,3,0,0,0,"Medio (34 - 66%)",Regular,873935,1056320
580,Chiminango,Arbol,Maduro,2.34,0,0.45,0.45,1.34,1.47,3,11,8,10,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873939,1056310
581,"Balso, Balsa, Balso negro, Balso tambor",Arbol,Maduro,1.8,1.6,0.51,0.51,0,0,3,10,7,15,0,1,0,0,0,"Alto (67 - 100%)",Regular,873970,1056310
582,"Guadua amarilla, Bambu amarillo, Bambu",Bambu,Maduro,0,0.14,0.04,0.04,0,0,1.5,8,6.5,3,0,1,0,0,0,"Alto (67 - 100%)",Regular,873972,1056320
583,"Palo blanco",Arbol,Maduro,0.97,0,0.12,0.12,0.3,0.48,2,8,6,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873914,1056330
584,"Floramarillo, Velero, Vainillo",Arbol,Maduro,1.3,0,0.13,0.13,0.3,0.52,2,7,5,6,0,5,0,0,0,"Bajo (0 - 33%)",Muerto,873911,1056340
585,"Palma areca",Palma,Maduro,2.3,0,0.07,0.07,0.18,0.28,2,5,3,6,0,7,0,0,0,"Bajo (0 - 33%)",Sano,873668,1056350
586,"Palma de yuca",Palma,Juvenil,1.5,0,0.08,0.08,0.19,0.31,1,3,2,1.5,0,3,0,0,0,"Medio (34 - 66%)",Regular,873672,1056350
587,"Palma areca",Palma,Maduro,1,0,0.1,0.1,0.23,0.37,2,5,3,4,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873678,1056340
588,"Palma areca",Palma,Maduro,0.5,0.4,0.13,0.13,0,0,3,5,2,4,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873678,1056340
589,"Palma areca",Palma,Maduro,2,0,0.1,0.1,0.2,0.4,2,4,2,5,0,4,0,0,0,"Bajo (0 - 33%)",Regular,873680,1056340
590,"Palma areca",Palma,Maduro,2.2,0,0.09,0.09,0.24,0.32,2,4,2,6,0,5,0,0,0,"Bajo (0 - 33%)",Regular,873679,1056340
591,Guacimo,Arbol,Maduro,0.9,0,0.09,0.09,0.22,0.37,3.5,8.2,4.7,8.4,0,6,0,0,0,"Alto (67 - 100%)",Regular,873388,1056870
592,Guacimo,Arbol,Maduro,1,0,0.18,0.18,0.38,0.74,3,8.5,5.5,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873392,1056870
593,"Cerezo, Mirto, Azahar",Arbusto,Maduro,1.15,0,0.06,0.06,0.18,0.21,1.7,3.2,1.5,5,0,7,0,0,0,"Alto (67 - 100%)",Sano,873433,1056850
594,Francesina,Arbusto,Maduro,0.46,0,0.05,0.05,0.12,0.2,0.5,2.8,2.3,2,0,6,0,0,0,"Alto (67 - 100%)",Regular,873432,1056850
595,Guanabano,Arbol,Maduro,2.1,0,0.29,0.29,0.85,1,3.6,14.5,10.9,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873323,1056850
596,Guanabano,Arbol,Maduro,1.2,1.08,0.34,0.34,0,0,2.9,12.5,9.6,9.2,0,1,0,0,0,"Alto (67 - 100%)",Regular,873315,1056850
597,Guacimo,Arbol,Maduro,1.85,0,0.16,0.16,0.2,0.81,6,11,5,12,0,5,0,0,0,"Alto (67 - 100%)",Regular,873178,1057250
598,"Palo blanco",Arbol,Maduro,1.2,0,0.11,0.11,0.22,0.5,5,9,4,4.5,0,3,0,0,0,"Medio (34 - 66%)",Sano,873186,1057260
599,Chiminango,Arbol,Maduro,4.1,0,0.52,0.52,1.48,1.8,8,15,7,11,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873179,1057260
600,"Limon swinglea, Swinglea",Arbol,Maduro,0.7,0,0.14,0.14,0.32,0.54,5,8,3,6,0,5,0,0,0,"Alto (67 - 100%)",Regular,873186,1057260
601,"Seso, Bien me sabe",Arbol,Maduro,1.08,0.83,0.26,0.26,0,0,4,7,3,0,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873184,1057260
602,Arrayan,Arbol,Maduro,0.61,0.37,0.12,0.12,0,0,4,7,3,5.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873185,1057250
603,"Palo blanco",Arbol,Maduro,0.42,0.38,0.12,0.12,0,0,3,6,3,5.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873187,1057250
604,Arrayan,Arbol,Maduro,0.6,0,0.08,0.08,0.2,0.31,3,7.3,4.3,5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873185,1057250
605,"Chirlobirlo, Floramarillo",Arbusto,Maduro,0.8,0,0.14,0.14,0.4,0.48,3,5,2,8,0,6,0,0,0,"Medio (34 - 66%)",Regular,873187,1057250
606,"Chirlobirlo, Floramarillo",Arbusto,Maduro,0.9,0,0.11,0.11,0.23,0.46,2,5,3,7.5,0,8,0,0,0,"Medio (34 - 66%)",Regular,873189,1057260
607,"Chirlobirlo, Floramarillo",Arbusto,Maduro,0.85,0,0.11,0.11,0.29,0.38,3,4.7,1.7,4.6,0,5,0,0,0,"Medio (34 - 66%)",Regular,873189,1057260
