ID2;id;Barrio;barrio;comuna;Id_Arbol;grupo;nombre_comun;nombre_cientifico;union;familia;vegetacion;edad;perimetro;cobertura;confinamiento;emplazamiento;pb;pap;DAP;DAP2;papdel;papgrueso;altura_fuste;altura_arbol;diferencia;diametro_copa;inclinacion;orientacion;otra_orientacion;fuste;tallos;raiz;raiz_expuesta;copa;densidad_copa;vitalidad;Norte;Este
46;0101G12263654;101;Terron Colorado;1;263654;G12 ;Palma de coco;Cocos nucifera;Cocos nucifera (Palma de coco);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Anden                              ;1.86;1.19;0.38;0.38;0;0;3.5;8;4.5;5.5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Irregular      ;Medio (34 - 66%)    ;Regular ;873796,73;1058020,35
47;0101G12263655;101;Terron Colorado;1;263655;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Anden                              ;0.51;0;0.04;0.04;0.13;0.14;1.8;2.6;0.8;1;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873837,82;1058093,72
48;0101G12263656;101;Terron Colorado;1;263656;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;Si;Anden                              ;1.71;0;0.05;0.05;0.13;0.21;1;2.8;1.8;2.9;10;Direccion de la via;N/A;Fuste Polifurcado;7;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873841,17;1058092,16
49;0101G12263657;101;Terron Colorado;1;263657;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Anden                              ;0.92;0;0.07;0.07;0.2;0.25;1.5;3.5;2;3.8;20;Direccion de la via;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873845,23;1058091,86
50;0101G12263658;101;Terron Colorado;1;263658;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Juvenil        ;N/A;Cesped              ;No;Anden                              ;0.84;0;0.06;0.06;0.18;0.2;1;2.8;1.8;2;0;Ninguna;N/A;Fuste Polifurcado;2;Subterranea    ;Si;Irregular      ;Medio (34 - 66%)    ;Regular ;873825,49;1058099,13
51;0101G12263659;101;Terron Colorado;1;263659;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Longevo        ;N/A;Cesped              ;No;Escenario depor/cult               ;0.98;0;0.1;0.1;0.29;0.32;6;7.5;1.5;4;10;Hacia la via;N/A;Fuste Polifurcado;2;Subterranea    ;No;Irregular      ;Bajo (0 - 33%)      ;Regular ;873535,58;1057595,55
52;0101G12263660;101;Terron Colorado;1;263660;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Escenario depor/cult               ;0.25;0.2;0.06;0.06;0;0;2.8;4.2;1.4;2.5;0;Ninguna;N/A;Fuste Unico;1;Subterranea    ;No;Aparasolada    ;Medio (34 - 66%)    ;Regular ;873535,42;1057597,79
53;0101G12263661;101;Terron Colorado;1;263661;G12 ;Palma areca;Dypsis lutescens;Dypsis lutescens (Palma areca);Arecaceae;Palma;Maduro         ;N/A;Cesped              ;No;Escenario depor/cult               ;1.62;0;0.09;0.09;0.28;0.3;3.5;6;2.5;6;15;Hacia la via;N/A;Fuste Polifurcado;4;Subterranea    ;Si;Irregular      ;Alto (67 - 100%)    ;Regular ;873530,72;1057596,42
54;0101G12263662;101;Terron Colorado;1;263662;G12 ;Dracaena, Cancion de la India;Dracaena reflexa;Dracaena reflexa (Dracaena, Cancion de la India);Asparagaceae;Planta arbustiva;Maduro         ;N/A;Cesped              ;No;Escenario depor/cult               ;0.74;0;0.1;0.1;0.25;0.36;2;5;3;2.4;5;Hacia la via;N/A;Fuste Polifurcado;3;Subterranea    ;No;Globosa        ;Alto (67 - 100%)    ;Regular ;873530,11;1057595,94
55;0101G12263663;101;Terron Colorado;1;263663;G12 ;Millonaria, Crispa;Polyscias scutellaria;Polyscias scutellaria (Millonaria, Crispa);Araliaceae;Planta arbustiva;Maduro         ;N/A;Cesped              ;No;Escenario depor/cult               ;0.67;0;0.05;0.05;0.1;0.2;3;7;4;1.6;0;Ninguna;N/A;Fuste Polifurcado;10;Subterranea    ;No;Columnar       ;Alto (67 - 100%)    ;Regular ;873527,56;1057597,64
